Participant,Corpus,Condition,Trail,Target_Sentence,ASR_Sentence
Participant05,Corpus2,B1,20,"""Hey Google, do I have anything scheduled for Friday?""",hey Google do I have anything scheduled for Friday
Participant05,Corpus3,D1,1,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",hey Google set the timer step to 20 degrees
Participant05,Corpus3,D1,2,"""Hey Google, broadcast 'dinner is ready'.""",hey Google
Participant05,Corpus3,D1,3,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm for 7:50 a.m. tomorrow morning
Participant05,Corpus3,D1,4,"""Hey Google, delete my reminder to pick up my dry cleaning.""",hey Google delete my reminder to pick up my dry cleaning
Participant05,Corpus3,D1,5,"""Hey Google, skip to the next chapter.""",hey Google skip it skip to the next
Participant05,Corpus3,D1,6,"""Hey Google, did the Liverpool win yesterday?""",hey Google did the Liverpool win yesterday
Participant05,Corpus3,D1,7,"""Hey Google, when is it going to rain?""",hey Google when is it going to rain today
Participant05,Corpus3,D1,8,"""Hey Google, sing a song.""",hey Google sing a song
Participant05,Corpus3,D1,9,"""Hey Google, are there any Italian restaurants around here?""",Hey Google are there any Italian restaurants around here
Participant05,Corpus3,D1,10,"""Hey Google, start the school day""",hey Google stop
Participant05,Corpus3,D1,11,"""Hey Google, hang up.""",hey Google
Participant05,Corpus3,D1,12,"""Hey Google, help.""",hey Google
Participant05,Corpus3,D1,13,"""Hey Google, broadcast 'wake everybody up'.""",hey Google wake everybody up
Participant05,Corpus3,D1,14,"""Hey Google, How do you solve this problem?""",hey Google how do you solve this problem
Participant05,Corpus3,D1,15,"""Hey Google, raise the temperature three degrees.""",hey Google
Participant05,Corpus3,D1,16,"""Hey Google, stop the music.""",hey Google stop the music
Participant05,Corpus3,D1,17,"""Hey Google, read a bedtime story.""",hey Google Play The Bedtime Story
Participant05,Corpus3,D1,18,"""Hey Google, add apples to my shopping list.""",hey Google.
Participant05,Corpus3,D1,19,"""Hey Google, what does an elephant sound like?""",hey Google what does an elephant sound like
Participant05,Corpus3,D1,20,"""Hey Google, broadcast 'the football is about to start.""",hey Google.
Participant05,Corpus4,C1,1,"""Hey Google, stop the music.""",Hey Google stop the music
Participant05,Corpus4,C1,2,"""Hey Google, how many calories are in a Banana?""",hey Google how many calories are in a banana
Participant05,Corpus4,C1,3,"""Hey Google, play some music.""",hey Google play some music
Participant05,Corpus4,C1,4,"""Hey Google, flip a coin.""",hey Google flip a coin
Participant05,Corpus4,C1,5,"""Hey Google, what are my reminders for this week?""",change my reminder for this week
Participant05,Corpus4,C1,6,"""Hey Google, what's the temperature right now?""",hey Google what's the temperature right now
Participant05,Corpus4,C1,7,"""Hey Google, show me the backdoor camera.""",hey Google show me the back door for now
Participant05,Corpus4,C1,8,"""Hey Google, set alarm for 8 AM tomorrow.""",hey Google set alarm for 8 a.m. tomorrow
Participant05,Corpus4,C1,9,"""Hey Google, when is it going to rain?""",hey Google when is it going to rain
Participant05,Corpus4,C1,10,"""Hey Google, turn the living room lights to blue""",hey Google turn the living room light to Blue
Participant05,Corpus4,C1,11,"""Hey Google, snooze the alarm.""",hey Google to set alarm
Participant05,Corpus4,C1,12,"""Hey Google, broadcast 'time to leave for school'.""",hey Google broadcast it's time to leave for school
Participant05,Corpus4,C1,13,"""Hey Google, stop.""",OK Google stop
Participant05,Corpus4,C1,14,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",hey Google remind me at 8 a.m. tomorrow to take my lunch if you walk
Participant05,Corpus4,C1,15,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify
Participant05,Corpus4,C1,16,"""Hey Google, add apples to my shopping list.""",add apples to my shopping list
Participant05,Corpus4,C1,17,"""Hey Google, read Women and Power.""",hey Google read with mental power
Participant05,Corpus4,C1,18,"""Hey Google, when is Walmart open until?""",hey Google what is Walmart open until
Participant05,Corpus4,C1,19,"""Hey Google, turn up the sound.""",hey Google turn off the song
Participant05,Corpus4,C1,20,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",Hey Google cancel the alarm for 7:50
Participant05,Corpus5,B2,1,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",7:15
Participant05,Corpus5,B2,2,"""Hey Google, broadcast 'the football is about to start.""",hey Google Chromecast at football is about King stop
Participant05,Corpus5,B2,3,"""Hey Google, flip a coin.""",hey Google flip a coin
Participant05,Corpus5,B2,4,"""Hey Google, spell artificial intelligence.""",hey Google spell artificial intelligence
Participant05,Corpus5,B2,5,"""Hey Google, how do you make ketchup?""",hey Google how do you make a cup
Participant05,Corpus5,B2,6,"""Hey Google, play some music from Spotify.""",hey Google play some music on Spotify
Participant05,Corpus5,B2,7,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for this week
Participant05,Corpus5,B2,8,"""Hey Google, stop the music in 15 (fifth-teen) minutes.""",hey Google stop the music in 15 minutes
Participant05,Corpus5,B2,9,"""Hey Google, brighten the office lamp.""",hey Google brighten the office lamp
Participant05,Corpus5,B2,10,"""Hey Google, what does an elephant sound like?""",hey Google what does an elephant sound like
Participant05,Corpus5,B2,11,"""Hey Google, lock the front door.""",Hey Google lock the phone
Participant05,Corpus5,B2,12,"""Hey Google, read Women and Power.""",hey Google
Participant05,Corpus5,B2,13,"""Hey Google, turn the living room lights to blue""",hey Google turn the living room lights to Blue
Participant05,Corpus5,B2,14,"""Hey Google, call my phone.""",hello Google
Participant05,Corpus5,B2,15,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",hey Google set the timer
Participant05,Corpus5,B2,16,"""Hey Google, play my Evening Jazz playlist.""",hey Google play my 80s playlist
Participant05,Corpus5,B2,17,"""Hey Google, did the Liverpool win yesterday?""",hey Google did the Liverpool with her yesterday
Participant05,Corpus5,B2,18,"""Hey Google, sing a song.""",hey Google sing a song
Participant05,Corpus5,B2,19,"""Hey Google, call the nearest coffee shop.""",Hey Google call the nearest coffee shop
Participant05,Corpus5,B2,20,"""Hey Google, pause the music.""",hey Google awesome music Taco Bell near me
Participant05,Corpus6,C2,1,"""Hey Google, open the blinds.""",hey Google open the blinds
Participant05,Corpus6,C2,2,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify
Participant05,Corpus6,C2,3,"""Hey Google, add apples to my shopping list.""",add to my shopping list
Participant05,Corpus6,C2,4,"""Hey Google, what does my day look like?""",hey Google what does my day look like
Participant05,Corpus6,C2,5,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",Hey Google cancel the alarm for 7:15
Participant05,Corpus6,C2,6,"""Hey Google, where is my first event tomorrow?""",hey Google where is my event tomorrow
Participant05,Corpus6,C2,7,"""Hey Google, play Money by LISA from Spotify.""",hey Google Play Naughty by Nature from Spotify
Participant05,Corpus6,C2,8,"""Hey Google, set a timer for 10 (Ten) minutes.""",hey Google set a timer for 10 minutes
Participant05,Corpus6,C2,9,"""Hey Google, call the nearest coffee shop.""",hey Google call the nearest coffee shop
Participant05,Corpus6,C2,10,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm for 7 for 9:15 a.m. tomorrow morning
Participant05,Corpus6,C2,11,"""Hey Google, set alarm for 8 AM tomorrow.""",hey Google set alarm for 8 a.m. tomorrow
Participant05,Corpus6,C2,12,"""Hey Google, stop the music.""",hey Google stop the music
Participant05,Corpus6,C2,13,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for this week
Participant05,Corpus6,C2,14,"""Hey Google, snooze the alarm.""",hey Google snooze the alarm
Participant05,Corpus6,C2,15,"""Hey Google, what is the time?""",hey Google what is the time
Participant05,Corpus6,C2,16,"""Hey Google, pause the music.""",hey Google stop the music
Participant05,Corpus6,C2,17,"""Hey Google, call My mom.""",hey Google call my mom
Participant05,Corpus6,C2,18,"""Hey Google, what is the traffic like on the way to work?""",hey Google what is the traffic like on the way to work
Participant05,Corpus6,C2,19,"""Hey Google, play my Evening Jazz playlist.""",hey Google Play My evenings destiny
Participant05,Corpus6,C2,20,"""Hey Google, is my phone connected over Bluetooth?""",hey Google is my phone connected over Bluetooth
Participant05,Corpus7,A2,1,"""Hey Google, play some hip hop.""",Hey Google play some hip hop
Participant05,Corpus7,A2,2,"""Hey Google, skip this track.""",hey Google skip this track
Participant05,Corpus7,A2,3,"""Hey Google, turn on the Bedroom Light.""",hey Google turn on the bedroom light
Participant05,Corpus7,A2,4,"""Hey Google, read Women and Power.""",hey Google read woman and Power
Participant05,Corpus7,A2,5,"""Hey Google, call the nearest coffee shop.""",hey Google call the nearest coffee shop
Participant05,Corpus7,A2,6,"""Hey Google, How do you solve this problem?""",hey Google how do you solve this problem
Participant05,Corpus7,A2,7,"""Hey Google, how much time is left on this chapter?""",hey Google how much time is left for this chapter
Participant05,Corpus7,A2,8,"""Hey Google, Bluetooth pairing.""",hey Google Bluetooth pairing
Participant05,Corpus7,A2,9,"""Hey Google, flip a coin.""",hey Google flip a coin
Participant05,Corpus7,A2,10,"""Hey Google, set a second timer for 30 (Thir-ty) minutes.""",hey Google set a second timer for 30 minutes
Participant05,Corpus7,A2,11,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",hey Google set the thermostat to 20 degrees
Participant05,Corpus7,A2,12,"""Hey Google, what is the time?""",hey Google what is the time
Participant05,Corpus7,A2,13,"""Hey Google, remember that I left the spare keys in the kitchen cupboard.""",hey Google remember that I left the spare key in the kitchen table
Participant05,Corpus7,A2,14,"""Hey Google, when is Walmart open until?""",hey Google when is Walmart open until
Participant05,Corpus7,A2,15,"""Hey Google, brighten the office lamp.""",hey Google brighten the office lamp
Participant05,Corpus7,A2,16,"""Hey Google, hang up.""",hey Google hang up
Participant05,Corpus7,A2,17,"""Hey Google, delete my reminder to pick up my dry cleaning.""",Hey Google delete my reminder to pick up my dry cleaning
Participant05,Corpus7,A2,18,"""Hey Google, call my phone.""",hey Google call my phone
Participant05,Corpus7,A2,19,"""Hey Google, broadcast 'dinner is ready'.""",hey Google broadcast dinner is ready
Participant05,Corpus7,A2,20,"""Hey Google, add apples to my shopping list.""",hey Google add apples to my shopping list
Participant05,Corpus8,D2,1,"""Hey Google, help me relax.""",hey Google help me relax
Participant05,Corpus8,D2,2,"""Hey Google, sing a song.""",hey Google sing a song
Participant05,Corpus8,D2,3,"""Hey Google, read a bedtime story.""",Hey Google read a bedtime story
Participant05,Corpus8,D2,4,"""Hey Google, raise the temperature three degrees.""",hey Google what is the temperature 2 degrees
Participant05,Corpus8,D2,5,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm for 6 a.m. tomorrow morning
Participant05,Corpus8,D2,6,"""Hey Google, do I have any alarms set?""",hey Google do I have any alarm set
Participant05,Corpus8,D2,7,"""Hey Google, play Money by LISA from Spotify.""",hey Google play Miley Miley cell from Spotify
Participant05,Corpus8,D2,8,"""Hey Google, skip to the next chapter.""",hey Google skip to the next chapter
Participant05,Corpus8,D2,9,"""Hey Google, are there any Italian restaurants around here?""",hey Google are there any Italian restaurant around here
Participant05,Corpus8,D2,10,"""Hey Google, play some hip hop.""",hey Google play salsa pop
Participant05,Corpus8,D2,11,"""Hey Google, play some music.""",hey Google play some music
Participant05,Corpus8,D2,12,"""Hey Google, turn on all the switches.""",hey Google turn on Netflix
Participant05,Corpus8,D2,13,"""Hey Google, what's the weather like today?""",hey Google what's the weather like today
Participant05,Corpus8,D2,14,"""Hey Google, Bluetooth pairing.""",hey Google Bluetooth
Participant05,Corpus8,D2,15,"""Hey Google, set the kitchen lights to 50% (Fifthy-Percent).""",hey Google set the kitchen light to 50%
Participant05,Corpus8,D2,16,"""Hey Google, how much time is left on this chapter?""",hey Google how much time is left on this chapter
Participant05,Corpus8,D2,17,"""Hey Google, help.""",Carnival.com
Participant05,Corpus8,D2,18,"""Hey Google, broadcast 'dinner is ready'.""",hey Google broadcast dinner is ready
Participant05,Corpus8,D2,19,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",hey Google cancel the alarm for 7:50
Participant05,Corpus8,D2,20,"""Hey Google, add apples to my shopping list.""",hey Google
Participant06,Corpus1,B1,1,"""Hey Google, read a bedtime story.""",Hey Google read a bedtime story
Participant06,Corpus1,B1,2,"""Hey Google, did the Liverpool win yesterday?""",hey Google
Participant06,Corpus1,B1,3,"""Hey Google, redi-al.""",hey Google redial
Participant06,Corpus1,B1,4,"""Hey Google, call the nearest coffee shop.""","hey Google, nearest coffee shop"
Participant06,Corpus1,B1,5,"""Hey Google, stop the music.""",hey Google stop the music
Participant06,Corpus1,B1,6,"""Hey Google, broadcast 'wake everybody up'.""",undo that row pause everybody up
Participant06,Corpus1,B1,7,"""Hey Google, dim the living room lights.""",Hey Google turn the living room light
Participant06,Corpus1,B1,8,"""Hey Google, broadcast 'dinner is ready'.""",broadcast dinner is ready
Participant06,Corpus1,B1,9,"""Hey Google, turn on the Bedroom Light.""",hey Google turn on bedroom light
Participant06,Corpus1,B1,10,"""Hey Google, broadcast 'time to leave for school'.""",hey Google broadcast
Participant06,Corpus1,B1,11,"""Hey Google, stop.""",hello Google.
Participant06,Corpus1,B1,12,"""Hey Google, play music on all the downstairs speakers.""",Her Google play music on all the downstairs speakers
Participant06,Corpus1,B1,13,"""Hey Google, play some hip hop.""",Play song Hip Hop
Participant06,Corpus1,B1,14,"""Hey Google, snooze the alarm.""",remove snooze that alarm
Participant06,Corpus1,B1,15,"""Hey Google, what does an elephant sound like?""",what does an elephant sound like
Participant06,Corpus1,B1,16,"""Hey Google, remember that I left the spare keys in the kitchen cupboard.""",hurdle. Remember that I left the spare keys in the Kitchen come on
Participant06,Corpus1,B1,17,"""Hey Google, play Batman on TV.""",hey Google play Batman on TV
Participant06,Corpus1,B1,18,"""Hey Google, what is the French word for grapefruit?""",hello Google what is the French word for Break Free
Participant06,Corpus1,B1,19,"""Hey Google, help.""",hey Google help
Participant06,Corpus1,B1,20,"""Hey Google, what are my reminders for this week?""",hey Google reminders for this week
Participant06,Corpus2,A1,1,"""Hey Google, what does an elephant sound like?""",hey Google what does an elephant sound like
Participant06,Corpus2,A1,2,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",Hey Google remind me at 8 a.m. tomorrow to take my lunch and to walk
Participant06,Corpus2,A1,3,"""Hey Google, play some music from Spotify.""",hey Google play some music for from Spotify
Participant06,Corpus2,A1,4,"""Hey Google, play Money by LISA from Spotify.""",hey Google Play money by Lisa from Spotify
Participant06,Corpus2,A1,5,"""Hey Google, flip a coin.""",hey Google flip a coin
Participant06,Corpus2,A1,6,"""Hey Google, read Women and Power.""",hey Google read women in power
Participant06,Corpus2,A1,7,"""Hey Google, move my music to the bedroom""",hey Google move my music to the Federal
Participant06,Corpus2,A1,8,"""Hey Google, read a bedtime story.""",hey Google read a bedtime story
Participant06,Corpus2,A1,9,"""Hey Google, Open Spotify.""",hey Google open Spotify
Participant06,Corpus2,A1,10,"""Hey Google, raise the temperature three degrees.""",hey Google raise the temperature 3 degrees
Participant06,Corpus2,A1,11,"""Hey Google, hang up.""",hey Google hang up
Participant06,Corpus2,A1,12,"""Hey Google, broadcast 'time to leave for school'.""",Hey Google broadcast time to leave for school
Participant06,Corpus2,A1,13,"""Hey Google, brighten the office lamp.""",hey Google brighten the office lamp
Participant06,Corpus2,A1,14,"""Hey Google, what is today's headlines?""",hey Google what is today's up line
Participant06,Corpus2,A1,15,"""Hey Google, turn on the Bedroom Light.""",hey Google turn on the bedroom light
Participant06,Corpus2,A1,16,"""Hey Google, where did I put the spare keys?""",hey Google where did I put the spare keys
Participant06,Corpus2,A1,17,"""Hey Google, redial.""",hey Google redial
Participant06,Corpus2,A1,18,"""Hey Google, are there any Italian restaurants around here?""",hey Google are there any Italian restaurants around here
Participant06,Corpus2,A1,19,"""Hey Google, call my phone.""",hey Google call my phone
Participant06,Corpus2,A1,20,"""Hey Google, do I have anything scheduled for Friday?""",hey Google do I have anything scheduled for Friday
Participant06,Corpus3,C1,1,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",hey Google set the thermostat to 20 degrees
Participant06,Corpus3,C1,2,"""Hey Google, broadcast 'dinner is ready'.""",hey Google broadcast dinner is ready
Participant06,Corpus3,C1,3,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm for 7:16 tomorrow morning
Participant06,Corpus3,C1,4,"""Hey Google, delete my reminder to pick up my dry cleaning.""",hey Google delete my reminder to pick up my dry cleaning
Participant06,Corpus3,C1,5,"""Hey Google, skip to the next chapter.""",hey Google skip to the next chapter
Participant06,Corpus3,C1,6,"""Hey Google, did the Liverpool win yesterday?""",hey Google is the Liverpool win yesterday
Participant06,Corpus3,C1,7,"""Hey Google, when is it going to rain?""",hey Google when is it going to rain
Participant06,Corpus3,C1,8,"""Hey Google, sing a song.""",hey Google sing the song
Participant06,Corpus3,C1,9,"""Hey Google, are there any Italian restaurants around here?""",Hey Google are there any Italian restaurants around here
Participant06,Corpus3,C1,10,"""Hey Google, start the school day""",hey Google start today
Participant06,Corpus3,C1,11,"""Hey Google, hang up.""",hey Google hang up
Participant06,Corpus3,C1,12,"""Hey Google, help.""",Hey Google app
Participant06,Corpus3,C1,13,"""Hey Google, broadcast 'wake everybody up'.""",hey Google broadcast everybody out
Participant06,Corpus3,C1,14,"""Hey Google, How do you solve this problem?""",hey Google how do you solve this problem
Participant06,Corpus3,C1,15,"""Hey Google, raise the temperature three degrees.""",hey Google raise the temperature 3 degrees
Participant06,Corpus3,C1,16,"""Hey Google, stop the music.""",hey Google stop the music
Participant06,Corpus3,C1,17,"""Hey Google, read a bedtime story.""",hey Google read a bedtime story
Participant06,Corpus3,C1,18,"""Hey Google, add apples to my shopping list.""",hey Google add apples to my shopping list
Participant06,Corpus3,C1,19,"""Hey Google, what does an elephant sound like?""",hey Google what does an elephant sound like
Participant06,Corpus3,C1,20,"""Hey Google, broadcast 'the football is about to start.""",Hey Google broadcast the football is about to stop
Participant06,Corpus4,D1,1,"""Hey Google, stop the music.""",stop the music
Participant06,Corpus4,D1,2,"""Hey Google, how many calories are in a Banana?""",how does that how many calories are in a banana
Participant06,Corpus4,D1,3,"""Hey Google, play some music.""",play some music
Participant06,Corpus4,D1,4,"""Hey Google, flip a coin.""",flip a coin
Participant06,Corpus4,D1,5,"""Hey Google, what are my reminders for this week?""",how's the weather this week
Participant06,Corpus4,D1,6,"""Hey Google, what's the temperature right now?""",what's the temperature right now
Participant06,Corpus4,D1,7,"""Hey Google, show me the backdoor camera.""",show me the back door camera
Participant06,Corpus4,D1,8,"""Hey Google, set alarm for 8 AM tomorrow.""",set alarm for 8 a.m. tomorrow
Participant06,Corpus4,D1,9,"""Hey Google, when is it going to rain?""",helluva how is it going today
Participant06,Corpus4,D1,10,"""Hey Google, turn the living room lights to blue""","hello Google, living room lights to play"
Participant06,Corpus4,D1,11,"""Hey Google, snooze the alarm.""",change the alarm
Participant06,Corpus4,D1,12,"""Hey Google, broadcast 'time to leave for school'.""",Urban that Go pass
Participant06,Corpus4,D1,13,"""Hey Google, stop.""",who does that stop
Participant06,Corpus4,D1,14,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",hello Google me at 8 a.m. tomorrow to take my lights and TV off
Participant06,Corpus4,D1,15,"""Hey Google, play some music from Spotify.""",play some music from Spotify
Participant06,Corpus4,D1,16,"""Hey Google, add apples to my shopping list.""",add apples to my shopping list
Participant06,Corpus4,D1,17,"""Hey Google, read Women and Power.""",heard of that power
Participant06,Corpus4,D1,18,"""Hey Google, when is Walmart open until?""",Walmart
Participant06,Corpus4,D1,19,"""Hey Google, turn up the sound.""",I love that song
Participant06,Corpus4,D1,20,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",Undo that 5015
Participant06,Corpus5,B2,1,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",set an alarm for 7:15 tomorrow morning
Participant06,Corpus5,B2,2,"""Hey Google, broadcast 'the football is about to start.""",houses that are about to start
Participant06,Corpus5,B2,3,"""Hey Google, flip a coin.""",flip a coin
Participant06,Corpus5,B2,4,"""Hey Google, spell artificial intelligence.""",houses that are artificial intelligence
Participant06,Corpus5,B2,5,"""Hey Google, how do you make ketchup?""",how do you make ketchup
Participant06,Corpus5,B2,6,"""Hey Google, play some music from Spotify.""",Roosevelt music from Spotify
Participant06,Corpus5,B2,7,"""Hey Google, what are my reminders for this week?""",undo that
Participant06,Corpus5,B2,8,"""Hey Google, stop the music in 15 (fifth-teen) minutes.""",Roosevelt stop the music in 15 minutes
Participant06,Corpus5,B2,9,"""Hey Google, brighten the office lamp.""",Roosevelt
Participant06,Corpus5,B2,10,"""Hey Google, what does an elephant sound like?""",what does an elephant sound like
Participant06,Corpus5,B2,11,"""Hey Google, lock the front door.""",Roosevelt lock the chronicle
Participant06,Corpus5,B2,12,"""Hey Google, read Women and Power.""",remove that
Participant06,Corpus5,B2,13,"""Hey Google, turn the living room lights to blue""",Roosevelt the living room lights to Blue
Participant06,Corpus5,B2,14,"""Hey Google, call my phone.""",Roosevelt call my phone
Participant06,Corpus5,B2,15,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",Resume.
Participant06,Corpus5,B2,16,"""Hey Google, play my Evening Jazz playlist.""",Roosevelt a jazz playlist
Participant06,Corpus5,B2,17,"""Hey Google, did the Liverpool win yesterday?""",do the vet get the Liverpool game yesterday
Participant06,Corpus5,B2,18,"""Hey Google, sing a song.""",Roosevelt
Participant06,Corpus5,B2,19,"""Hey Google, call the nearest coffee shop.""",Roosevelt all the nearest coffee shop
Participant06,Corpus5,B2,20,"""Hey Google, pause the music.""",resume music
Participant06,Corpus6,C2,1,"""Hey Google, open the blinds.""",hey open
Participant06,Corpus6,C2,2,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify
Participant06,Corpus6,C2,3,"""Hey Google, add apples to my shopping list.""",hey Google add to my shopping list
Participant06,Corpus6,C2,4,"""Hey Google, what does my day look like?""",hey Google what does my day look like
Participant06,Corpus6,C2,5,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",Hey Google cancel the alarm for 7:15
Participant06,Corpus6,C2,6,"""Hey Google, where is my first event tomorrow?""",hey Google where is my first event tomorrow
Participant06,Corpus6,C2,7,"""Hey Google, play Money by LISA from Spotify.""",hey Google Play money by Lisa from Spotify
Participant06,Corpus6,C2,8,"""Hey Google, set a timer for 10 (Ten) minutes.""",hey Google set a timer for 10 minutes
Participant06,Corpus6,C2,9,"""Hey Google, call the nearest coffee shop.""",hey Google call the nearest coffee shop
Participant06,Corpus6,C2,10,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm for 7:15 a.m. tomorrow morning
Participant06,Corpus6,C2,11,"""Hey Google, set alarm for 8 AM tomorrow.""",hey Google set an alarm for 8 a.m. tomorrow
Participant06,Corpus6,C2,12,"""Hey Google, stop the music.""",hey Google stop the music
Participant06,Corpus6,C2,13,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for this week
Participant06,Corpus6,C2,14,"""Hey Google, snooze the alarm.""",hey Google snooze the alarm
Participant06,Corpus6,C2,15,"""Hey Google, what is the time?""",hey Google what is the time
Participant06,Corpus6,C2,16,"""Hey Google, pause the music.""",hey Google pause the music
Participant06,Corpus6,C2,17,"""Hey Google, call My mom.""",hey Google call my mom
Participant06,Corpus6,C2,18,"""Hey Google, what is the traffic like on the way to work?""",hey Google what is the traffic like on the way to work
Participant06,Corpus6,C2,19,"""Hey Google, play my Evening Jazz playlist.""",hey Google play my evening Jazz playlist
Participant06,Corpus6,C2,20,"""Hey Google, is my phone connected over Bluetooth?""",hey Google is my phone connected over Bluetooth
Participant06,Corpus7,A2,1,"""Hey Google, play some hip hop.""",Play
Participant06,Corpus7,A2,2,"""Hey Google, skip this track.""",hey Google skip this track
Participant06,Corpus7,A2,3,"""Hey Google, turn on the Bedroom Light.""",hey Google turn on the bedroom light
Participant06,Corpus7,A2,4,"""Hey Google, read Women and Power.""",hey Google read woman and flower
Participant06,Corpus7,A2,5,"""Hey Google, call the nearest coffee shop.""",hey Google call the nearest coffee shop
Participant06,Corpus7,A2,6,"""Hey Google, How do you solve this problem?""",hey Google how do you solve this problem
Participant06,Corpus7,A2,7,"""Hey Google, how much time is left on this chapter?""",hey Google how much time is left on this chapter
Participant06,Corpus7,A2,8,"""Hey Google, Bluetooth pairing.""",hey Google Bluetooth pairing
Participant06,Corpus7,A2,9,"""Hey Google, flip a coin.""",hey Google flip a coin
Participant06,Corpus7,A2,10,"""Hey Google, set a second timer for 30 (Thir-ty) minutes.""",hey Google set a second timer for 30 minutes
Participant06,Corpus7,A2,11,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",hey Google set the timer set to 20 degrees
Participant06,Corpus7,A2,12,"""Hey Google, what is the time?""",hey Google what is the time
Participant06,Corpus7,A2,13,"""Hey Google, remember that I left the spare keys in the kitchen cupboard.""",hey Google remember that I left the spare key in the kitchen cabinet
Participant06,Corpus7,A2,14,"""Hey Google, when is Walmart open until?""",hey Google when is Walmart open until
Participant06,Corpus7,A2,15,"""Hey Google, brighten the office lamp.""",hey Google brighten the office man
Participant06,Corpus7,A2,16,"""Hey Google, hang up.""",hey Google hang up
Participant06,Corpus7,A2,17,"""Hey Google, delete my reminder to pick up my dry cleaning.""",Hey Google delete my reminder to pick up my dry cleaning
Participant06,Corpus7,A2,18,"""Hey Google, call my phone.""",hey Google call my phone
Participant06,Corpus7,A2,19,"""Hey Google, broadcast 'dinner is ready'.""",hey Google broadcast dinner is ready
Participant06,Corpus7,A2,20,"""Hey Google, add apples to my shopping list.""",hey Google add apples to my shopping list
Participant06,Corpus8,D2,1,"""Hey Google, help me relax.""",how's the weather
Participant06,Corpus8,D2,2,"""Hey Google, sing a song.""",how's the weather
Participant06,Corpus8,D2,3,"""Hey Google, read a bedtime story.""",read a bedtime story
Participant06,Corpus8,D2,4,"""Hey Google, raise the temperature three degrees.""",how does that change the temperature 3 degrees
Participant06,Corpus8,D2,5,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",set an alarm for 7:15 a.m. tomorrow morning
Participant06,Corpus8,D2,6,"""Hey Google, do I have any alarms set?""",houses that glow
Participant06,Corpus8,D2,7,"""Hey Google, play Money by LISA from Spotify.""",hold of that money by 9
Participant06,Corpus8,D2,8,"""Hey Google, skip to the next chapter.""",how do that skip to the next chapter
Participant06,Corpus8,D2,9,"""Hey Google, are there any Italian restaurants around here?""",undo that are there any Italian restaurants around here
Participant06,Corpus8,D2,10,"""Hey Google, play some hip hop.""",play some hip hop
Participant06,Corpus8,D2,11,"""Hey Google, play some music.""",hoses that play song music
Participant06,Corpus8,D2,12,"""Hey Google, turn on all the switches.""",undo that turn on all the speakers
Participant06,Corpus8,D2,13,"""Hey Google, what's the weather like today?""",how's the weather what's the weather like today
Participant06,Corpus8,D2,14,"""Hey Google, Bluetooth pairing.""",Bluetooth column
Participant06,Corpus8,D2,15,"""Hey Google, set the kitchen lights to 50% (Fifthy-Percent).""",Roosevelt High School
Participant06,Corpus8,D2,16,"""Hey Google, how much time is left on this chapter?""",how much time is left on this chapter
Participant06,Corpus8,D2,17,"""Hey Google, help.""",undo that
Participant06,Corpus8,D2,18,"""Hey Google, broadcast 'dinner is ready'.""",how's the weather
Participant06,Corpus8,D2,19,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",Roosevelt
Participant06,Corpus8,D2,20,"""Hey Google, add apples to my shopping list.""",how's the weather
